Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
782a5ec5-ae70-453f-96cb-03f3f62ce62b,"2020-06-21, 11:59:50 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,82.135.70.86
1ed2877b-f6f5-40f4-84b4-97de476e7258,"2020-06-21, 11:59:16 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
6fc224e3-c5d6-4504-8109-210f43b6fd44,"2020-06-21, 11:58:55 PM",Accountant,ConsoleLogin,,,,us-east-1,,82.135.70.86
f2d13aa1-c356-4d14-9a35-2e9ee5ee223e,"2020-06-21, 11:58:33 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Udacity_Trail""}]",,us-east-1,,82.135.70.86
6472a5d9-26a2-41fb-b56c-4cb9c104817b,"2020-06-21, 11:58:28 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Udacity_Trail""}]",,us-east-1,,82.135.70.86
a52eaf40-32ba-42fe-ad71-27515e66b146,"2020-06-21, 11:57:30 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Allevents""}]",,us-east-1,,82.135.70.86
cb66d5e0-3e45-4aef-8c01-0cbdf956d0c0,"2020-06-21, 11:57:14 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Udacity_Trail""}]",,us-east-1,,82.135.70.86
2294689f-772b-4f9e-92ea-932625f0b21d,"2020-06-21, 11:52:08 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-logs""}]",,us-east-1,,82.135.70.86
54d05317-0c69-493f-8349-5aa0878e208c,"2020-06-21, 11:52:08 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,82.135.70.86
6889521e-d644-4fed-9e3c-ea29fd45b194,"2020-06-21, 11:52:08 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:008985597822:trail/Udacity_Trail""}]",,us-east-1,,82.135.70.86
43f79735-eebd-4089-b682-a98dfb9afced,"2020-06-21, 11:52:07 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-logs""}]",,us-east-1,,82.135.70.86
851a2203-c7b2-4b07-a4be-5f6ce2a0ad8d,"2020-06-21, 11:52:07 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-logs""}]",,us-east-1,,82.135.70.86
a859fbe1-57f0-4264-b927-60cb866388af,"2020-06-21, 11:47:57 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
d7b81832-4690-4f7d-80d9-165276e0983c,"2020-06-21, 11:47:36 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,82.135.70.86
b8564b36-b759-40ae-a31e-fb8a7fce1afd,"2020-06-21, 11:44:52 PM",biplob,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,82.135.70.86
a495f60d-dbbf-49df-83f7-341d1ff5deaf,"2020-06-21, 11:44:51 PM",biplob,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,82.135.70.86
a0538d8b-a08e-42a4-bceb-084e282812f4,"2020-06-21, 11:44:50 PM",biplob,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::008985597822:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQEF4VK57K4KFJPZGF""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,82.135.70.86
d02c0f8b-83c3-4116-98a8-ed47b2c08247,"2020-06-21, 11:44:03 PM",biplob,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,82.135.70.86
7e708dd1-8762-4227-8181-3f6ca7976a8b,"2020-06-21, 11:44:02 PM",biplob,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,82.135.70.86
2a375631-0c08-43ce-a3d8-37e7e5f59192,"2020-06-21, 11:44:01 PM",biplob,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQEF4VK57DVJXRKEKT""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::008985597822:user/CloudTrail""}]",,us-east-1,,82.135.70.86
4e75a52e-c482-475f-811a-ffda102a95fe,"2020-06-21, 11:41:55 PM",biplob,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,82.135.70.86
b95b8623-d06e-4634-a1af-876b7648b4c3,"2020-06-21, 11:41:54 PM",biplob,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::008985597822:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQEF4VK57GLXJP4FNF""}]",,us-east-1,,82.135.70.86
1d64cb3f-95ff-4da7-9793-293b57b5da36,"2020-06-21, 11:41:31 PM",biplob,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,82.135.70.86
87596d3f-4ebe-4081-8ff2-5bd5f16cdbbd,"2020-06-21, 11:41:30 PM",biplob,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQEF4VK57GGHHOYGZ4""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::008985597822:group/CloudTrailAdmins""}]",,us-east-1,,82.135.70.86
d474e134-3003-4e18-b774-e503dfcd6c11,"2020-06-21, 11:41:30 PM",biplob,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,82.135.70.86
a275654b-8eed-41d9-9fdb-a41d37ce6b68,"2020-06-21, 11:37:52 PM",biplob,UpdateAccountPasswordPolicy,,,,us-east-1,,82.135.70.86
59484d10-5d30-4b9f-abd2-46e63495a1b4,"2020-06-21, 11:37:24 PM",biplob,UpdateAccountPasswordPolicy,,,,us-east-1,,82.135.70.86
9d3aaaf0-c136-4ef1-839e-797b39f966db,"2020-06-21, 11:36:15 PM",biplob,ConsoleLogin,,,,us-east-1,,82.135.70.86